1a,2
1b,6
1b,5
1b,7
1b,8
1c,2
1d,6
1d,5
1d,7
1d,8
2a,15
2a,14
2a,12
2a,13
2b,15
2b,14
2b,12
2b,13
2c,15
2c,14
2c,12
2c,13
2d,16
2d,15
2d,17
2d,12
3a,18
3a,19
3b,18
3b,19
3c,18
3c,19
4a,18
4b,18
4b,19
4c,18
5a,31
5b,35
5c,39
6a,45
6a,44
6a,43
6a,46
6b,48
6b,47
6b,49
6b,50
6c,45
6c,44
6c,43
6c,46
6d,48
6d,47
6d,49
6d,50
6e,45
6e,44
6e,43
6e,46
6f,48
6f,47
6f,49
6f,50
7a,52
7a,56
7a,51
7a,54
7a,55
7a,53
7a,57
7b,52
7b,56
7b,51
7b,54
7b,55
7b,53
7b,57
7c,61
8a,66
8b,66
8c,77
8d,77
9a,89
9a,87
9a,91
9a,90
9a,92
9a,88
9b,95
9b,96
9b,94
9c,101
9c,103
9c,102
9c,87
9c,105
9c,88
9d,101
9d,87
9d,105
9d,88
10a,109
10b,109
10c,77
11a,129
11a,125
11a,126
11a,128
11a,127
11a,130
11b,128
11c,138
11d,138
12a,151
12b,6
12b,161
12c,151
13a,151
13a,170
13a,175
13a,171
13a,176
13b,151
13b,170
13b,177
13b,175
13b,171
13b,176
13b,178
13b,179
13c,151
13c,170
13c,177
13c,175
13c,171
13c,176
13c,178
13c,179
14a,180
14a,181
14a,185
14a,182
14b,185
15a,193
15b,201
15c,210
15d,217
16a,225
16a,12
16a,16
16a,229
16a,226
16a,227
16a,228
16b,225
16b,12
16b,16
16b,229
16b,226
16b,227
16b,228
16c,225
16c,12
16c,16
16c,229
16c,226
16c,227
16c,228
16d,225
16d,12
16d,16
16d,229
16d,226
16d,227
16d,228
17a,15
17a,230
17a,12
17a,231
17a,17
17a,16
17b,12
17b,231
17b,17
17b,232
17b,16
17b,233
17c,12
17c,231
17c,17
17c,232
17c,16
17c,233
17d,12
17d,231
17d,17
17d,232
17d,16
17d,233
17e,15
17e,230
17e,12
17e,231
17e,17
17e,16
17f,15
17f,230
17f,12
17f,231
17f,17
17f,16
18a,234
18a,161
18c,234
19a,89
19a,244
19a,87
19a,91
19a,90
19a,92
19a,88
19b,95
19b,96
19b,94
19c,103
19c,101
19c,102
19c,244
19c,87
19c,253
19c,88
19d,103
19d,101
19d,102
19d,175
19d,87
19d,253
19d,88
21a,129
21a,125
21a,126
21a,128
21a,127
21a,130
21b,129
21b,125
21b,126
21b,128
21b,127
21b,130
21c,125
21c,126
21c,128
22a,180
22a,181
22a,182
23b,274
23b,201
24a,283
24b,294
25b,234
26a,312
26b,323
26c,170
27a,344
27b,355
27b,126
27c,355
27c,126
28a,180
28a,374
28b,180
28b,374
28c,180
28c,374
29a,408
29a,410
29a,409
29a,411
29b,408
29b,410
29b,409
29b,411
29c,408
30a,451
30a,452
30b,463
30c,274
31b,234
31b,451
31b,452
32a,490
32b,12
33a,499
33a,501
33a,500
33b,499
33b,501
33b,500
33c,513
